syd,symptom
1,crampes abdominales
2,Douleur abdominale
3,Acidité de l'acidité
4,Acne Acne
5,Conditions allergiques
6,Sclérose latérale amyotrophe (ALS)
7,Anxiété
8,stimulant de l'appétit
9,Asthme
10,Infections bactériennes
11,Symptômes froids courants
12,Couleur de pâte
13,Taille avec mucus
14,Diarrhée
15,La toux sèche
16,Les yeux secs
17,Infections par le Seigle par virus Herpes simplex
18,Infections cutanées fongiques
19,Maladie de reflux gastro-sophagique (reflux acide)
20,Goutte Gout
21,Les coups de coeur
22,Herpes labialis
23,Infections par virus Herpes simplex
24,Élevé de cholestérol
25,Traitement de remplacement des hormones
26,Hypertension (hypertension artérielle élevée)
27,Câte de pierre de Kidney
28,Allégement de la douleur
29,Travail de première date
30,hypertension artérielle pulmonaire
31,Troubles des voies respiratoires associés au mucus visuel
32,Scabies
33,Schizophrénie
34,Anxiété à court terme
35,Snez et nez pas coulé en raison des allergies
36,Carence en vitamine A
37,La douleur musculaire
38,hypogonadisme masculin
39,Infections parasites
40,Infections oculaires bactériennes
41,Les nausées et les vomissements dus à la chimiothérapie
42,"ulcères intestinaux, ulcères de l'estomac"
43,"Infections fongiques, Leishmaniasis"
