review,polarity
"تطبيق جيد، بسيط وفعال لي أنصح بشدة لجميع مالكي الحساب في هذا البنك الجيد جدا.",1
فعال,1
أوصي بشدة جميع مالكي الحساب في هذا البنك الجيد جدا.,1
بنك  جيد جدا!,1
علة سيئة!,-1
 سيئ,1
"تطبيق رائع، عملي جدا. أصبح كل شيء بسيطا، ويعمل جيدا بالنسبة لي. ",1
تطبيق رائع,1
مريحة للغاية.,1
انها تعمل جيدة جدا ,1
إنه يعمل بشكل جيد بالنسبة لي,1
تطبيق جيد جدا أن أستخدمه كل يوم لعرض حساباتي أو إجراء تحويلات,1
التطبيق مفيد للغاية ,1
تطبيق جيد جدا,1
عملي للغاية ,1
5نجوم...,1
"برافو للتحديث، يفتقد إمكانية إجراء عمليات نقل خارجية. وإمكانية وضع الملاحظات بجانب ملصقات العمليات الخاصة بك لتحديد العملية بشكل أفضل في حالة النسيان. شكرا لجهودك .",1
البنك الذي  يعامل كل طلب  بالاحتراف.,1
"لا يدعم هذا التطبيق حسابات الأعمال، فمن غير مقبول ",-1
عملي للغاية  ممتاز,1
برافو Cih برو جميل,1
تطبيق جيد جدا أصبح ضرورة,1
"لا أستطيع استشارة حسابي على دفتر الملاحظات،",-1
"لا يعمل لعدة أيام، ولا جهد",-1
ممتاز,1
 رفض فتح لمدة عشرات أيام.,-1
خيبة أمل كبيرة في هذا المستوى.,-1
خيبة أمل كبيرة,-1
"ولكن ما هو  هذا القرف، لا أستطيع الوصول إلى حسابي بعد الآن، يبدو كرسالة أن اتصالي غير آمن، حاولت مع 3G وكذلك الواي فاي الآمن من المنزل  ولكن دائما نفس الرسالة  يؤسفني بعد فشل هذا التحديث",-1
المخاوف الكبيرة من هذا التطبيق هي أننا لا نتبع جميع نفقاتنا مباشرة. لقد حدث أن أشتري شيئا يوم الاثنين وأنه يعرض لي التدفق يوم السبت! لذلك ليس لدينا أي فكرة عن المال الذي تركناه على حسابنا لأنه لا توجد قيمة حقيقية أبدا. خيبة أمل كبيرة في هذا المستوى.,-1
التصميم لطيف حقا وهو سهل الاستخدام.,1
إنه يخدم أي شيء هذا التطبيق. منصة الويب أفضل بشكل أفضل.,1
تطبيق ممتاز. تهانينا للمطور وإلى جميع أولئك الذين ساهموا في تنفيذها.,1
يمكننا الحصول على كل شيء  الذي نريد فقط نقرة واحدة,1
 من أحسن بنوك بالمغرب خدمة بكل سهولة,1
سيرفيس ناضي,1
أحسن بنكة ,1
تووب وحسن منهم كاملين وحتى لابليكاسيون ديالهم توب,1
احسن بنك تتعامل مع الجالية ,1
خدماته كلها مجانية و مرتاحة معاه و فيما يخص أداء مصارف الجامعة بالخارج فهي جد ناجحة و سريعة,1
  خدماتها الإلكترونية متميزة مقارنة بنظيراتها و مصاريف الحساب محددة بالعقد و لا تزيد عن المتوقع. و يبقى هذا رأي مبني على تجربة شخصية,1
أ حسن بنك أ في الشركات  من ناحية الخدمات و الإقتطاعات,1
جد رائعة ووالتعامل الراقي أنصحه ب,1
أ حسن بنك بالنسبة ليا هو سياش مافيهش اقتطاعات وفيه خدمات زوينة بزاف ,1
من بين أحسن البنوك اقتطاعات قليلة وموجود في جميع مدن المغرب,1
جربتهم كاملين و رتاحيت مع CIH فقط,1
خدمة جد متميزة ,1
