review,polarity,cleaned_text
"تطبيق جيد، بسيط وفعال لي أنصح بشدة لجميع مالكي الحساب في هذا البنك الجيد جدا.",1,تطبيق جيد بسيط وفعال انصح بشده لجميع مالكي الحساب البنك الجيد
فعال,1,فعال
أوصي بشدة جميع مالكي الحساب في هذا البنك الجيد جدا.,1,اوصي بشده مالكي الحساب البنك الجيد
بنك  جيد جدا!,1,بنك جيد
علة سيئة!,-1,عله سيئه
 سيئ,1,سيئ
"تطبيق رائع، عملي جدا. أصبح كل شيء بسيطا، ويعمل جيدا بالنسبة لي. ",1,تطبيق رائع عملي شيء بسيطا ويعمل جيدا بالنسبه
تطبيق رائع,1,تطبيق رائع
مريحة للغاية.,1,مريحه للغايه
انها تعمل جيدة جدا ,1,تعمل جيده
إنه يعمل بشكل جيد بالنسبة لي,1,يعمل جيد بالنسبه
تطبيق جيد جدا أن أستخدمه كل يوم لعرض حساباتي أو إجراء تحويلات,1,تطبيق جيد استخدمه لعرض حساباتي اجراء تحويلات
التطبيق مفيد للغاية ,1,التطبيق مفيد للغايه
تطبيق جيد جدا,1,تطبيق جيد
عملي للغاية ,1,عملي للغايه
5نجوم...,1,نجوم
"برافو للتحديث، يفتقد إمكانية إجراء عمليات نقل خارجية. وإمكانية وضع الملاحظات بجانب ملصقات العمليات الخاصة بك لتحديد العملية بشكل أفضل في حالة النسيان. شكرا لجهودك .",1,برافو للتحديث يفتقد امكانيه اجراء عمليات نقل خارجيه وامكانيه وضع الملاحظات بجانب ملصقات العمليات الخاصه لتحديد العمليه افضل حاله النسيان شكرا لجهودك
البنك الذي  يعامل كل طلب  بالاحتراف.,1,البنك يعامل طلب بالاحتراف
"لا يدعم هذا التطبيق حسابات الأعمال، فمن غير مقبول ",-1,يدعم التطبيق حسابات الاعمال فمن مقبول
عملي للغاية  ممتاز,1,عملي للغايه ممتاز
برافو Cih برو جميل,1,برافو برو جميل
تطبيق جيد جدا أصبح ضرورة,1,تطبيق جيد ضروره
"لا أستطيع استشارة حسابي على دفتر الملاحظات،",-1,استطيع استشاره حسابي دفتر الملاحظات
"لا يعمل لعدة أيام، ولا جهد",-1,يعمل لعده جهد
ممتاز,1,ممتاز
 رفض فتح لمدة عشرات أيام.,-1,رفض فتح لمده عشرات
خيبة أمل كبيرة في هذا المستوى.,-1,خيبه امل كبيره المستوي
خيبة أمل كبيرة,-1,خيبه امل كبيره
"ولكن ما هو  هذا القرف، لا أستطيع الوصول إلى حسابي بعد الآن، يبدو كرسالة أن اتصالي غير آمن، حاولت مع 3G وكذلك الواي فاي الآمن من المنزل  ولكن دائما نفس الرسالة  يؤسفني بعد فشل هذا التحديث",-1,القرف استطيع الوصول حسابي يبدو كرساله اتصالي امن حاولت وكذلك الواي فاي الامن المنزل دائما الرساله يؤسفني فشل التحديث
المخاوف الكبيرة من هذا التطبيق هي أننا لا نتبع جميع نفقاتنا مباشرة. لقد حدث أن أشتري شيئا يوم الاثنين وأنه يعرض لي التدفق يوم السبت! لذلك ليس لدينا أي فكرة عن المال الذي تركناه على حسابنا لأنه لا توجد قيمة حقيقية أبدا. خيبة أمل كبيرة في هذا المستوى.,-1,المخاوف الكبيره التطبيق اننا نتبع نفقاتنا مباشره لقد حدث اشتري شيئا الاثنين وانه يعرض التدفق السبت لدينا فكره المال تركناه حسابنا لانه توجد قيمه حقيقيه ابدا خيبه امل كبيره المستوي
التصميم لطيف حقا وهو سهل الاستخدام.,1,التصميم لطيف سهل الاستخدام
إنه يخدم أي شيء هذا التطبيق. منصة الويب أفضل بشكل أفضل.,1,يخدم شيء التطبيق منصه الويب افضل افضل
تطبيق ممتاز. تهانينا للمطور وإلى جميع أولئك الذين ساهموا في تنفيذها.,1,تطبيق ممتاز تهانينا للمطور والي اولئك ساهموا تنفيذها
يمكننا الحصول على كل شيء  الذي نريد فقط نقرة واحدة,1,يمكننا الحصول شيء نريد نقره واحده
 من أحسن بنوك بالمغرب خدمة بكل سهولة,1,احسن بنوك بالمغرب خدمه بكل سهوله
سيرفيس ناضي,1,سيرفيس ناضي
أحسن بنكة ,1,احسن بنكه
تووب وحسن منهم كاملين وحتى لابليكاسيون ديالهم توب,1,توب وحسن منهم كاملين وحتي لابليكاسيون ديالهم توب
احسن بنك تتعامل مع الجالية ,1,احسن بنك تتعامل الجاليه
خدماته كلها مجانية و مرتاحة معاه و فيما يخص أداء مصارف الجامعة بالخارج فهي جد ناجحة و سريعة,1,خدماته كلها مجانيه ومرتاحه معاه وفيما يخص اداء مصارف الجامعه بالخارج فهي ناجحه وسريعه
  خدماتها الإلكترونية متميزة مقارنة بنظيراتها و مصاريف الحساب محددة بالعقد و لا تزيد عن المتوقع. و يبقى هذا رأي مبني على تجربة شخصية,1,خدماتها الالكترونيه متميزه مقارنه بنظيراتها ومصاريف الحساب محدده بالعقد تزيد المتوقع ويبقي راي مبني تجربه شخصيه
أ حسن بنك أ في الشركات  من ناحية الخدمات و الإقتطاعات,1,حسن بنك الشركات ناحيه الخدمات والاقتطاعات
