polarity,cleaned_text
1,تطبيق جيد بسيط وفعال انصح بشده لجميع مالكي الحساب البنك الجيد
1,فعال
1,اوصي بشده مالكي الحساب البنك الجيد
1,بنك جيد
-1,عله سيئه
1,سيئ
1,تطبيق رائع عملي شيء بسيطا ويعمل جيدا بالنسبه
1,تطبيق رائع
1,مريحه للغايه
1,تعمل جيده
1,يعمل جيد بالنسبه
1,تطبيق جيد استخدمه لعرض حساباتي اجراء تحويلات
1,التطبيق مفيد للغايه
1,تطبيق جيد
1,عملي للغايه
1,نجوم
1,برافو للتحديث يفتقد امكانيه اجراء عمليات نقل خارجيه وامكانيه وضع الملاحظات بجانب ملصقات العمليات الخاصه لتحديد العمليه افضل حاله النسيان شكرا لجهودك
1,البنك يعامل طلب بالاحتراف
-1,يدعم التطبيق حسابات الاعمال فمن مقبول
1,عملي للغايه ممتاز
1,برافو برو جميل
1,تطبيق جيد ضروره
-1,استطيع استشاره حسابي دفتر الملاحظات
-1,يعمل لعده جهد
1,ممتاز
-1,رفض فتح لمده عشرات
-1,خيبه امل كبيره المستوي
-1,خيبه امل كبيره
-1,القرف استطيع الوصول حسابي يبدو كرساله اتصالي امن حاولت وكذلك الواي فاي الامن المنزل دائما الرساله يؤسفني فشل التحديث
-1,المخاوف الكبيره التطبيق اننا نتبع نفقاتنا مباشره لقد حدث اشتري شيئا الاثنين وانه يعرض التدفق السبت لدينا فكره المال تركناه حسابنا لانه توجد قيمه حقيقيه ابدا خيبه امل كبيره المستوي
1,التصميم لطيف سهل الاستخدام
1,يخدم شيء التطبيق منصه الويب افضل افضل
1,تطبيق ممتاز تهانينا للمطور والي اولئك ساهموا تنفيذها
1,يمكننا الحصول شيء نريد نقره واحده
1,احسن بنوك بالمغرب خدمه بكل سهوله
1,سيرفيس ناضي
1,احسن بنكه
1,توب وحسن منهم كاملين وحتي لابليكاسيون ديالهم توب
1,احسن بنك تتعامل الجاليه
1,خدماته كلها مجانيه ومرتاحه معاه وفيما يخص اداء مصارف الجامعه بالخارج فهي ناجحه وسريعه
1,خدماتها الالكترونيه متميزه مقارنه بنظيراتها ومصاريف الحساب محدده بالعقد تزيد المتوقع ويبقي راي مبني تجربه شخصيه
1,حسن بنك الشركات ناحيه الخدمات والاقتطاعات
