words,sentiment_coeff
بنك,0.999915678911855
جيد,1.0132120073662652
تطبيق,1.0139124167197244
التطبيق,1.0103177947315618
انا,-1.0054169715043793
خدمه,1.0129920278588505
البنك,1.0064396500002055
للغايه,-1.0139532660965966
الله,1.0119438087311254
شيء,-1.0091295455160305
احسن,1.004175653947127
ممتاز,0.9989614046186692
يعمل,1.0101654674122105
ديما,1.0129176785557743
زيرو,0.9977593863773689
بزاف,1.0092150303034306
ديال,1.0066625673245841
اقتطاعات,1.0089974060545903
هاد,-1.0167074839554942
عملي,0.9945934886588242
بالنسبه,-1.0109482373271588
سيئه,1.014571942989931
الخدمات,-1.0072916930089
رائع,0.9979524416492115
راه,-1.0088428495111599
باش,-1.0079991109483888
حسابي,0.997427753975179
تجربه,1.0085725217185149
اوصي,1.008691511042577
كاملين,1.0044804946880137
كبيره,1.0079365098887594
حسن,-1.0145849669326912
انصح,1.0118747548780733
ناس,1.0042598739125748
عمليه,0.9985840210561152
طايح,-1.023576901336556
امل,1.0061719528223811
الوكاله,-1.0158183733444557
البنوك,1.0078092877667868
مفيد,1.0142977938431867
شكرا,-1.0303871407227299
الناس,-1.0166829581064067
وكالات,1.0032902547033882
الحساب,0.9958645351701848
افضل,1.000045531786625
مفلس,-0.993328483146779
زوين,-1.0093030593578856
كاين,1.013689652600124
فاشل,1.0093952113639557
سيرفيس,1.0090518693450163
والله,1.0144994164593508
نهار,1.0121428135860653
مدينه,-1.0086626291516974
بنكه,-1.0066085545396133
بكل,-1.0125704031494607
زحام,1.009714582449573
عندكم,1.007157665313618
مقارنه,-1.0060054904198905
فابور,1.0126959654037995
سياش,-1.0037725605333632
مشكل,1.0191641443233272
نتوما,1.0048630031932688
اكفس,1.0115346445400013
فلوس,-1.014529746575766
خدمات,1.0244723494222807
المغرب,-1.008578071591283
الاستخدام,1.030725695237934
الاقتطاعات,1.0155188666866195
سيئ,1.0079834031163
برافو,1.0048797795073905
صراحه,-1.014073133341211
حتي,1.0073572055825861
المستوي,1.0133199186910655
خيبه,-1.013476193596772
حساب,1.0071714446208688
دائما,-1.00644304131664
يعمل_جيد,-1.0071566163060415
جيده,-1.0106585928970864
حاله,-1.0134243192437775
الزبناء,1.0020932006568213
راض,1.0062153362168016
الاخري,-1.0085225767348844
واحده,1.0060699293155746
بشده,1.0092453457030905
بالمغرب,-1.0015576039108542
لينا,-1.0028144311638199
مريحه,1.0126443338861348
فعال,-1.0073278883848797
تعمل,1.0006874920522506
جربتهم,-1.0132539463807324
اجراء,1.0157270102644969
الملاحظات,1.003839712353826
الجيد,-1.0081499744246927
بسيط,-1.0182545522643869
العمليات,-1.0008184216355283
عمليات,1.000747031035902
رائعه,1.0081661612857753
الاعمال,-1.0091022890732801
المال,-1.0115505025300657
سهوله,-1.022392162314445
بنوك,1.0003304405561184
مزيان,-1.0046918915219432
ابدا,1.0106663093201516
لقد,-1.009784609351865
لابليكاسيون,-1.005664963229566
منهم,1.0060090305277447
ديالهم,-0.9979078212076566
استطيع,-1.011392070262618
وسريعه,1.005235053562165
شخصيه,1.0183924478141138
متميزه,1.009321166038093
فاي,-1.0138706377367503
يبدو,-1.0072339263175238
ليا,-1.009859063815494
فتح,-1.0151710892316668
دوك,-1.0090808574700971
عيت,-1.0051276617564946
كنمشي,-1.0036366878477352
فلوسهم,1.0124105227687297
الداخله,-1.0111270603045914
كامله,1.0132618559387412
مره,1.008064876846274
وحده,1.0071996853177
المدينه,1.0155411952137166
بغا,1.00847162192308
وسيئ,-1.00805373795648
للاسف,-1.0031244988503718
ليكم,-1.011037812784631
العيون,1.019979787738939
الخدمه,-1.0118910343348446
يسمح,-1.015420981006952
لحرام,1.00048409524015
ديالكم,1.0151445149176257
طاقم,-1.0128340760061272
جات,-1.0070137444135359
موظفين,1.005374160771418
شارع,-1.0030268163680014
الكثير,-1.013034004462766
الاحيان,1.0106959727783433
حسنا,1.0084328415101727
اولاد,-1.0076380740612698
نلقاو,1.006191308812842
بمدينه,-1.0001340730642752
وكالتكم,1.0102474686524843
وكاله,-1.0124944415355346
يفتقر,1.0032792880759038
ليست,-0.9959018360307945
لان,1.0022500160309755
يتم,-1.0075734204643196
بطاقه,-1.0171345249733448
الدفع,-1.00258610755975
راضي,0.9953179254162645
مناسب,-1.0040519898404023
للخدمه,1.0014124174812267
وقت,1.00441414162728
وسهله,-1.0012741924127722
بلا,-1.0035048440260559
طوب,-1.0168333645560679
خاسر,1.003376983995288
شفاره,1.0096572259323182
عالم,-1.0106492660329898
باين,-1.0029203382110752
وانا,1.0072938134363503
نركلامي,1.0123363143304467
خارج,1.0141670621799563
الزباين,0.9956982369138047
الدوله,-1.0107814411379887
شفت,-1.0023111094107644
العار,-1.009924419399617
فحياتي,-1.0056094945646588
عندكوم,-1.015943274482639
عيب,-1.0090410580799245
النوبه,1.006752624058494
زيدو,1.014948825281486
الموظفين,-1.0074252739917475
عيقتو,-1.0001653429401058
ديالكوم,-1.0124700498167536
فالمغرب,-1.00013443461969
سيستم,1.0122470887092536
ورقه,-1.013153773655382
ديمه,-1.0069168155341557
خايبه,1.0009051627541994
يوجد,-0.9986001453640213
الزحام,1.0048606700170697
يحترمون,1.0123480623360397
الموضفين,-1.0178781647398827
الكيشي,1.0023636686624073
حرام,-1.002479361252496
عباد,-0.9941803410393529
ادفع,1.010168212112408
فاش,1.0121352694461945
يعني,1.0127949354956087
بدون,1.0110552219994264
مزيانه,-1.0196799327161157
المعامله,-1.004579081127913
اخري,-1.0098891700071644
مالكي,-1.009377316612479
